Source,Target
361,582
361,666
361,480
361,423
361,682
361,348
361,57
361,218
361,39
361,495
361,383
361,337
361,162
361,435
361,400
361,23
361,235
361,368
361,288
361,158
582,423
582,361
582,666
582,61
582,337
582,443
582,39
582,495
582,368
582,288
582,23
582,333
582,311
582,57
582,348
582,327
582,283
582,403
582,542
582,325
423,582
423,254
423,333
423,558
423,666
423,61
423,324
423,443
423,288
423,495
423,368
423,258
423,39
423,327
423,23
423,94
423,465
423,361
423,309
423,325
254,423
254,61
254,118
254,666
254,395
254,104
254,71
254,633
254,100
254,577
254,333
254,288
254,443
254,348
254,645
254,327
254,609
254,39
254,311
254,368
61,395
61,443
61,666
61,254
61,582
61,118
61,423
61,348
61,283
61,327
61,612
61,39
61,324
61,349
61,288
61,333
61,57
61,24
61,383
61,558
118,348
118,71
118,633
118,100
118,609
118,612
118,645
118,254
118,368
118,61
118,124
118,373
118,112
118,395
118,138
118,383
118,666
118,636
118,243
118,166
666,348
666,24
666,57
666,383
666,303
666,61
666,582
666,395
666,352
666,423
666,361
666,296
666,612
666,27
666,254
666,283
666,311
666,208
666,368
666,118
395,348
395,666
395,612
395,443
395,61
395,118
395,254
395,311
395,368
395,423
395,582
395,531
395,104
395,24
395,283
395,383
395,324
395,203
395,333
395,327
104,254
104,395
104,100
104,112
104,71
104,636
104,118
104,348
104,383
104,621
104,124
104,79
104,666
104,599
104,645
104,609
104,368
104,647
104,633
104,311
71,138
71,112
71,621
71,118
71,647
71,124
71,200
71,633
71,164
71,243
71,100
71,609
71,645
71,636
71,587
71,520
71,104
71,254
71,368
71,209
633,200
633,118
633,138
633,609
633,71
633,124
633,100
633,621
633,647
633,164
633,254
633,520
633,243
633,645
633,112
633,46
633,472
633,577
633,634
633,178
100,112
100,440
100,138
100,118
100,621
100,633
100,257
100,71
100,609
100,599
100,254
100,124
100,645
100,164
100,472
100,636
100,408
100,348
100,243
100,423
577,79
577,355
577,254
577,495
577,443
577,582
577,327
577,423
577,235
577,39
577,228
577,569
577,283
577,357
577,634
577,139
577,429
577,11
577,23
577,288
333,423
333,324
333,325
333,558
333,288
333,500
333,39
333,582
333,23
333,617
333,61
333,254
333,562
333,447
333,411
333,191
333,414
333,327
333,309
333,298
288,298
288,598
288,659
288,309
288,300
288,40
288,624
288,365
288,489
288,55
288,433
288,53
288,175
288,665
288,139
288,218
288,190
288,427
288,468
288,366
443,395
443,61
443,423
443,283
443,577
443,666
443,582
443,254
443,348
443,327
443,349
443,311
443,627
443,39
443,333
443,23
443,558
443,106
443,24
443,281
348,666
348,303
348,24
348,383
348,166
348,296
348,395
348,612
348,57
348,118
348,352
348,368
348,353
348,243
348,61
348,582
348,293
348,423
348,208
348,283
645,118
645,71
645,112
645,138
645,147
645,479
645,100
645,633
645,164
645,254
645,245
645,225
645,536
645,609
645,653
645,372
645,260
645,360
645,580
645,382
327,429
327,235
327,11
327,139
327,357
327,585
327,437
327,106
327,0
327,635
327,162
327,148
327,158
327,634
327,23
327,627
327,371
327,461
327,320
327,39
609,138
609,621
609,118
609,633
609,124
609,112
609,520
609,100
609,636
609,71
609,164
609,647
609,472
609,372
609,254
609,525
609,382
609,675
609,580
609,568
39,327
39,634
39,61
39,23
39,235
39,333
39,558
39,582
39,11
39,357
39,288
39,635
39,666
39,106
39,349
39,162
39,577
39,325
39,158
39,228
311,354
311,367
311,395
311,281
311,666
311,283
311,582
311,61
311,254
311,333
311,423
311,443
311,620
311,337
311,39
311,521
311,411
311,191
311,23
311,678
368,480
368,612
368,118
368,203
368,348
368,383
368,373
368,337
368,395
368,682
368,423
368,582
368,666
368,283
368,61
368,39
368,327
368,254
368,296
368,361
558,500
558,197
558,325
558,562
558,423
558,288
558,333
558,23
558,324
558,349
558,320
558,298
558,655
558,327
558,39
558,414
558,357
558,617
558,139
558,94
500,558
500,197
500,349
500,562
500,318
500,655
500,325
500,333
500,617
500,627
500,414
500,522
500,423
500,324
500,191
500,39
500,634
500,288
500,538
500,106
197,558
197,500
197,562
197,325
197,305
197,524
197,191
197,333
197,414
197,324
197,617
197,318
197,655
197,538
197,288
197,269
197,349
197,680
197,411
197,39
325,558
325,333
325,324
325,500
325,255
325,23
325,2
325,39
325,351
325,305
325,197
325,411
325,509
325,562
325,554
325,199
325,288
325,542
325,222
325,414
562,558
562,500
562,197
562,318
562,325
562,414
562,333
562,324
562,298
562,461
562,39
562,320
562,288
562,327
562,655
562,617
562,139
562,680
562,357
562,106
23,148
23,542
23,11
23,421
23,320
23,327
23,109
23,235
23,139
23,357
23,484
23,371
23,437
23,158
23,558
23,39
23,94
23,288
23,165
23,400
324,333
324,254
324,423
324,61
324,325
324,582
324,666
324,395
324,558
324,414
324,39
324,562
324,288
324,500
324,617
324,318
324,197
324,23
324,634
324,680
349,655
349,344
349,558
349,530
349,500
349,627
349,635
349,106
349,634
349,234
349,443
349,39
349,61
349,327
349,522
349,318
349,618
349,254
349,283
349,516
320,388
320,484
320,148
320,109
320,421
320,139
320,437
