label,id
3 Na Massa,0
A Banda Mais Bonita da Cidade,1
A Barca,2
A Bolha,3
A Cor Do Som,4
A Dama,5
A Outra Banda Da Lua,6
A Travestis,7
Abacaxepa,8
Abayomy Afrobeat Orquestra,9
Abel Ferreira,10
Academia da Berlinda,11
Adoniran Barbosa,12
Adriana Calcanhotto,13
Adriana Maciel,14
Adriana Partimpim,15
Afoxé Oyá Alaxé,16
Africania,17
Afrocidade,18
Agepê,19
Agô!,20
Alcione,21
Aldo Parisot,22
Alessandra Leao,23
Alice Caymmi,24
Aline Calixto,25
Almir Guineto,26
Almério,27
Alt Niss,28
Altamiro Carrilho,29
Altemar Dutra,30
Alzira E,31
Alzira Espíndola,32
Amanajé,33
Amelinha,34
Ana Cañas,35
Ana Costa,36
Ana Muller,37
André Abujamra,38
Anelis Assumpção,39
Angela Ro Ro,40
Anna Luisa,41
Anna Ratto,42
Antonia Adnet,43
Antônio Carlos Jobim,44
Antônio Nóbrega,45
Apanhador Só,46
Ara Ketu,47
Aracy de Almeida,48
Aretuza Lovi,49
Argemiro Patrocinio,50
Arlindo Cruz,51
Arnaldo Antunes,52
Arnaldo Baptista,53
Arranco De Varsóvia,54
Arrigo Barnabé,55
Ary Barroso,56
As Baías,57
As Ganhadeiras de Itapuã,58
Asa De Águia,59
Ataulfo Alves,60
Ava Rocha,61
Ave Sangria,62
Awaken Love Band,63
BK,64
BNegão,65
Babado Novo,66
Baco Exu do Blues,67
Baden Powell,68
BaianaSystem,69
Baiano E Os Novos Caetanos,70
Baleia,71
Bamdamel,72
Banda Beijo,73
Banda Black Rio,74
Banda De Pifanos De Caruaru,75
Banda Eva,76
Banda Mel,77
Barbatuques,78
Barro,79
Batatinha,80
Bebeto,81
Belchior,82
Bell Marques,83
Belô Velloso,84
Bemti,85
Benito Di Paula,86
Beth Carvalho,87
Beto Guedes,88
Bezerra Da Silva,89
BiD,90
Bia Ferreira,91
Biltre,92
Bivolt,93
Bixiga 70,94
Bixo Da Seda,95
Bloco da Laje,96
Boca Livre,97
Bonde das Maravilhas,98
Bonsucesso Samba Clube,99
Boogarins,100
Brazilian Octopus,101
Brisa Flow,102
Bruna Caram,103
Bruna Mendez,104
Bruno Gadiol,105
Bárbara Eugênia,106
CIDOCA,107
Cabocla Yacira,108
Cabruêra,109
Caetano Veloso,110
Caio Prado,111
Cambriana,112
Candeia,113
Carlinhos Brown,114
Carlos Cachaca,115
Carlos Careqa,116
Carlos Lyra,117
Carne Doce,118
Cartola,119
Casa Das Máquinas,120
Casa Fanti Ashanti,121
Cascabulho,122
Cassiano,123
Castello Branco,124
Casuarina,125
Cauby Peixoto,126
Ceumar,127
Cheiro de Amor,128
Chicas,129
Chiclete Com Banana,130
Chico Buarque,131
Chico Correa & Electronic Band,132
Chico César,133
Chico Science,134
China,135
Cia Cabelo de Maria,136
Cida Moreira,137
Cidade Dormitório,138
Cidadão Instigado,139
Circle Music,140
Clara Lima,141
Clara Nunes,142
Clarianas,143
Clementina De Jesus,144
Clube Do Balanço,145
Cláudio Rabeca,146
Codinome Winchester,147
Comadre Florzinha,148
Consuelo De Paula,149
Coral Filhos de Iemanjá,150
Coral Filhos de Oxóssi,151
Cordel do Fogo Encantado,152
Coruja Bc1,153
Cris Snj,154
Cristina Buarque,155
Cristina Tati,156
Curimbeiros de São Jorge,157
Curumin,158
Cyro Monteiro,159
Cátia de França,160
Cérebro Eletrônico,161
Céu,162
Cézar Mendes,163
Cícero,164
DJ Dolores,165
DUDA BEAT,166
Dalto,167
Dalva De Oliveira,168
Daniela Mercury,169
Daniela Mercury & DJ Ramilson Maia,170
Danilo Caymmi,171
Daparte,172
Daúde,173
Deborah Blando,174
Di Melo,175
Dick Farney,176
Dilermando Reis,177
Dingo Bells,178
Diogo Nogueira,179
Diomedes Chinaski,180
Dolores Duran,181
Dom Salvador,182
Dom Salvador & Abolição,183
Dominguinhos,184
Don L,185
Dona Ivone Lara,186
Dona Selma,187
Doralyce,188
Dori Caymmi,189
Dorival Caymmi,190
Douglas Germano,191
Dream Team do Passinho,192
Drik Barbosa,193
Duda Brack,194
Dudu Nobre,195
Dudu Tucci,196
Duo Moviola,197
Durval Lelys,198
Déa Trancoso,199
Dônica,200
Ed Motta,201
Eddie,202
Edgar,203
Ednardo,204
Edu Lobo,205
Eduardo Araujo,206
Egberto Gismonti,207
Ekena,208
El Efecto,209
Elba Ramalho,210
Eliete Negreiros,211
Elis Regina,212
Elizeth Cardoso,213
Elomar,214
"Elomar, Geraldo Azevedo, Vital Farias e Xangai",215
"Elomar, Geraldo Azevedo, Vital Farias, Xangai",216
Elton Medeiros,217
Elza Soares,218
Emílio Santiago,219
Erasmo Carlos,220
FBC,221
Fabiana Cozza,222
Fafá de Belém,223
Fagner,224
Far From Alaska,225
Farofa Carioca,226
Fatima Guedes,227
Felipe Cordeiro,228
Fernanda Abreu,229
Fernanda Porto,230
Fernanda Takai,231
Fernando Beltran,232
Filhos de Dona Maria,233
Filipe Catto,234
Fino Coletivo,235
Fióti,236
Flerte Flamingo,237
Flora Matos,238
Fran,239
Francinne,240
Francis Hime,241
Francisco Alves,242
"Francisco, el Hombre",243
Funk Como Le Gusta,244
Fábio de Carvalho,245
GA31,246
Gabz,247
Gal Costa,248
Galocantô,249
Geraldo Azevedo,250
Geraldo Vandre,251
Geronimo Santana,252
Gilberto Gil,253
Giovani Cidreira,254
Gloria Bomfim,255
Gloria Groove,256
Glue Trip,257
Goma-Laca,258
Gonzaguinha,259
Gorduratrans,260
Grupo Bongar,261
Grupo Cupuacu,262
Grupo Fundo De Quintal,263
Grupo Ofa,264
Guga Stroeter & Orquestra HB,265
Gui Amabis,266
Guigo,267
Guilherme Arantes,268
Guinga,269
Gustavo Souza,270
Guzzi,271
Hamilton De Holanda,272
Harmonia Do Samba,273
Heavy Baile,274
Hermeto Pascoal,275
Hiran,276
Hotelo,277
Hurtmold,278
Hyldon,279
Höröyá,280
Iara Rennó,281
Iconili,282
Illy,283
Ilê Aiyê,284
Instituto,285
Isabella Taviani,286
Issa Paz,287
Itamar Assumpção,288
Ivan Lins,289
Ivete Sangalo,290
Jackson Do Pandeiro,291
Jacob Do Bandolim,292
Jade Baraldo,293
Jair Oliveira,294
Jair Rodrigues,295
Jaloo,296
Jamelão,297
Jards Macalé,298
Jo & Tuco,299
Joao Do Vale,300
Joelho De Porco,301
Johnny Alf,302
Johnny Hooker,303
Jojo Maronttinni,304
Jonathan Silva,305
Jorge Alabe,306
Jorge Aragão,307
Jorge Ben Jor,308
Jorge Mautner,309
Jorge Vercillo,310
Josyara,311
Jovelina Perola Negra,312
Joyce,313
João Bosco,314
João Cavalcanti,315
João Donato,316
Joãozinho da Goméia,317
Juliana Perdigão,318
Julio Secchin,319
Junio Barreto,320
Jup do Bairro,321
Jurandir Santana,322
Jussara Silveira,323
Juçara Marçal,324
Juçara Marçal e Kiko Dinucci,325
Kafé,326
Karina Buhr,327
Karnak,328
Karol Conká,329
Karol de Souza,330
Kaya Conky,331
Kika Boom,332
Kiko Dinucci,333
Kleiton & Kledir,334
L_cio,335
Lamparina e A Primavera,336
Larissa Luz,337
Laura Lavieri,338
Lazzo Matumbi,339
Leila Pinheiro,340
Lenine,341
Lenna Bahule,342
Leny Andrade,343
Leo Cavalcanti,344
Leo Middea,345
Leoni,346
Letieres Leite & Orkestra Rumpilezz,347
Letrux,348
Letuce,349
Lia Clark,350
Lia de Itamaracá,351
Liniker e os Caramelows,352
Linn da Quebrada,353
Livia Nery,354
Los Sebosos Postizos,355
Lucas Boombeat,356
Lucas Santtana,357
Luciana Mello,358
Lucio Alves,359
Ludovic,360
Luedji Luna,361
Luiz Caldas,362
Luiz Carlos Da Vila,363
Luiz Gonzaga,364
Luiz Melodia,365
Luiz Tatit,366
Luiza Brina,367
Luiza Lian,368
Luiza Possi,369
Lula Côrtes,370
Lula Queiroga,371
Lupe De Lupe,372
Luísa e os Alquimistas,373
Lívia Cruz,374
Lô Borges,375
MARTTE,376
MC Loma e As Gêmeas Lacração,377
MULAMBA,378
Macaco Bong,379
Maciel Salú,380
Made In Brazil,381
Maglore,382
Mahmundi,383
Majur,384
Malía,385
Maniva,386
Mano Brown,387
Maquinado,388
Marcelinho Moreira,389
Marcello Gugu,390
Marcelo Quintanilha & Vania Abreu,391
Marconi Notaro,392
Marcos Sacramento,393
Margareth Menezes,394
Maria Beraldo,395
Maria Bethânia,396
Maria Creuza,397
Maria Gadú,398
Maria Rita,399
Mariana Aydar,400
Mariana Baltar,401
Marie Gabriella,402
Mariene De Castro,403
Marina De La Riva,404
Marina Lima,405
Marisa Monte,406
Marku Ribas,407
Marrakesh,408
Mart'nália,409
Martinho Da Vila,410
Mateus Aleluia,411
Mateus Carrilho,412
Mateus Sartori,413
Maurício Pereira,414
Mavambo Trio,415
Mawaca,416
Mc Soffia,417
Mc Tha,418
Melissas,419
Memê no Beat,420
Mestre Ambrósio,421
Mestre Obashanan,422
Metá Metá,423
Mia Badgyal,424
Milton Nascimento,425
Miúcha,426
Moacir Santos,427
Moacyr Luz,428
Mombojó,429
Monarco,430
Monna Brutal,431
Monobloco,432
Moraes Moreira,433
Moreira Da Silva,434
Moreno Veloso,435
Moyseis Marques,436
Mundo Livre S/A,437
Murillo Zyess,438
Murilo Chester,439
My Magical Glowing Lens,440
Márcia Castro,441
Mãe Iberecy,442
Mãeana,443
Mônica Salmaso,444
Nana Caymmi,445
Naná Vasconcelos,446
Naná Vasconcelos e Itamar Assumpção,447
Nara Leão,448
Nathalie Alvim,449
Nação Zumbi,450
Negro Leo,451
Nei Lopes,452
Nelson Cavaquinho,453
Nelson Gonçalves,454
Nelson Sargento,455
Netinho,456
Ney Matogrosso,457
Niara,458
Nicole Salmi,459
Nill,460
Nina Becker,461
Nininha Problemática,462
Noel Rosa,463
Noite Ilustrada,464
Nomade Orquestra,465
Noriel Vilela,466
Novos Baianos,467
Ná Ozzetti,468
Nêssa,469
O Grilo,470
O Terco,471
O Terno,472
OQuadro,473
Obinrin Trio,474
Odair Jose,475
Odette Amaral,476
Olivia Byington,477
Olodum,478
Ombu,479
Omulu,480
Orlando Silva,481
Orquestra Afro/Brasileira,482
Orquestra Brasileira de Música Jamaicana,483
Orquestra Contemporânea de Olinda,484
Orquestra Imperial,485
Os Brazoes,486
Os Cariocas,487
Os Incríveis,488
Os Mulheres Negras,489
Os Mutantes,490
Os Opalas,491
Os Originais Do Samba,492
Os Tincoãs,493
Oswaldo Montenegro,494
Otto,495
Ouroba,496
Pai Cido de Oxum,497
Pai Pedro Miranda,498
Pandeiro do Mestre,499
Passo Torto,500
Pato Fu,501
Patricia Marx,502
Paula Lima,503
Paula Morelenbaum,504
Paula Toller,505
Paulinho Da Viola,506
Paulinho Moska,507
Paulinho Nogueira,508
Paulo Cesar Pinheiro,509
Paulo Diniz,510
Paulo Moura,511
Paulo Novaes,512
Pedro Luis E A Parede,513
Pedro Mariano,514
Pedro Miranda,515
Pedro Morais,516
Pepeu Gomes,517
Pepita,518
Pery Ribeiro,519
Phill Veras,520
Pietá,521
Pitanga em Pé de Amora,522
Pixinguinha,523
Plim,524
Plutão Já Foi Planeta,525
Ponto Br,526
Potyguara Bardo,527
Preta Rara,528
Pélico,529
Qinho,530
Quartabê,531
Quarteto Em Cy,532
Quarteto Novo,533
Quinteto Violado,534
Quinteto em Branco e Preto,535
R.Sigma,536
RDD,537
RUMO,538
Rachel Reis,539
Rap Plus Size,540
Renata Arruda,541
Renata Rosa,542
Renato Braz,543
Renato Russo,544
Renato Teixeira,545
Ricardo Chaves,546
Rico Dalasam,547
Rima Dela,548
Rimas e Melodias,549
Rincon Sapiência,550
Rio Maracatu,551
Rita Benneditto,552
Rita Lee,553
Roberta Nistra,554
Roberta Sá,555
Roberto Ribeiro,556
Rodrigo Alarcon,557
Rodrigo Campos,558
Rodrigo Maranhão,559
Rodrigo Ogi,560
Rogério Duprat,561
Romulo Fróes,562
Ronnie Von,563
Rosa Neon,564
Rosa Passos,565
Roseli Martins,566
Rosinha De Valença,567
Rubel,568
Russo Passapusso,569
Sa & Guarabyra,570
Samba de Coco Raizes de Arcoverde,571
Sambasonics,572
Samuca e a Selva,573
Sandra De Sá,574
Sandro Luiz,575
Sandália de Prata,576
Saulo Duarte e a Unidade,577
Scambo,578
Secos & Molhados,579
Selvagens à Procura de Lei,580
Semente Cristal,581
Serena Assumpção,582
Seu Jorge,583
Seu Pereira e Coletivo 401,584
Silvia Machete,585
Silvério Pessoa,586
Simonami,587
Simone,588
Sistah Chilli,589
Sivuca,590
Socorro Lira,591
Som Imaginario,592
Som Nosso De Cada Dia,593
Souto MC,594
Sururu Na Roda,595
Sylvia Telles,596
Sérgio Ricardo,597
Sérgio Sampaio,598
Tagua Tagua,599
Taiguara,600
Tainá Costa,601
Tamara Franklin,602
Tassia Reis,603
Tati Zaqui,604
Tavito,605
Templo a Caminho da Paz,606
Tenda de Umbanda Caboclo Caramã e Pai Cesário,607
Teresa Cristina,608
Terno Rei,609
Terra Samba,610
Terreiro do Pai Maneco,611
Teto Preto,612
Tetê Espíndola,613
Thalma Freitas,614
Theo de Barros,615
Thiago Elniño,616
Thiago França,617
Thiago Pethit,618
Tibério Azul,619
Tiganá Santana,620
Tim Bernardes,621
Tim Maia,622
Timbalada,623
Tom Zé,624
Toni Tornado,625
Toninho Horta,626
Tono,627
Tony Boka,628
Toquinho,629
Trabalhos Espaciais Manuais,630
Tribalistas,631
Trio Mocoto,632
Trombone de Frutas,633
Trupe Chá de Boldo,634
Tulipa Ruiz,635
Tuyo,636
Underismo,637
VELHA GUARDA DA PORTELA,638
Valesca Popozuda,639
Vandal,640
Vander Lee,641
Vanessa Da Mata,642
Vanusa,643
Velha Guarda Da Mangueira,644
Ventre,645
Ventura Profana,646
Versos Que Compomos Na Estrada,647
Verônica Sabino,648
Vinícius de Moraes,649
Violeta De Outono,650
Virgínia Rodrigues,651
Vitor Ramil,652
Vivendo do Ócio,653
Vírus,654
Wado,655
Wado & Realismo Fantástico,656
Waldir Azevedo,657
Walter Alfaiate,658
Walter Franco,659
Walter de Figueredo,660
Wilson Das Neves,661
Wilson Moreira,662
Wilson Simonal,663
Wilson Simoninha,664
Xangai,665
Xênia França,666
Yamandú Costa,667
Yan Cloud,668
Yzalú,669
Ze Rodrix,670
Zeca Baleiro,671
Zeca Pagodinho,672
Zezé Motta,673
Zimbo Trio,674
Zimbra,675
Zizi Possi,676
Zé Keti,677
Zé Manoel,678
Zé Maurício Machline,679
Zé Miguel Wisnik,680
Zélia Duncan,681
ÀTTØØXXÁ,682
Èkó Afrobeat,683
É O Tchan,684
